"","wavelength","pasture_mean_reflectance"
"1284",1284,0.194489
"1285",1285,0.194017
"1286",1286,0.193554
"1287",1287,0.192993
"1288",1288,0.192252
"1289",1289,0.191621
"1290",1290,0.190952
"1291",1291,0.190732
"1292",1292,0.190313
"1293",1293,0.189813
"1294",1294,0.18933
"1295",1295,0.18863
"1296",1296,0.187795
"1297",1297,0.187
"1298",1298,0.186296
"1299",1299,0.18558
"1300",1300,0.184845
"1301",1301,0.184086
"1302",1302,0.183355
"1303",1303,0.182474
"1304",1304,0.181616
"1305",1305,0.181016
"1306",1306,0.180209
"1307",1307,0.179404
"1308",1308,0.178779
"1309",1309,0.177949
"1310",1310,0.177196
"1311",1311,0.176503
